iter	Logloss
0	0.6343020433
1	0.5897604875
2	0.5493339767
3	0.5182351485
4	0.4917852602
5	0.4698743133
6	0.4511365073
7	0.4327366065
8	0.4194168723
9	0.4068166103
10	0.388619441
11	0.3784251599
12	0.3693447064
13	0.3622055987
14	0.3562024548
15	0.350311189
16	0.3453312209
17	0.3411468163
18	0.3374052826
19	0.3328049562
20	0.3296662112
21	0.320566709
22	0.3168643803
23	0.314034111
24	0.3105815729
25	0.308562137
26	0.3060471323
27	0.3033003601
28	0.2975142629
29	0.2951105853
30	0.2919362664
31	0.2897031601
32	0.2872076686
33	0.2831222326
34	0.28096074
35	0.2784432636
36	0.276612722
37	0.2745401741
38	0.2727764168
39	0.2709845513
40	0.2695470976
41	0.2682977222
42	0.2667167884
43	0.2648193369
44	0.2630122875
45	0.2611321049
46	0.2593385367
47	0.2583837712
48	0.2567193588
49	0.255959175
50	0.2544817372
51	0.2532263531
52	0.2518597144
53	0.2501613502
54	0.2491201786
55	0.2478475342
56	0.2467051154
57	0.2430056908
58	0.2418959756
59	0.2409576694
60	0.2400022588
61	0.2390489782
62	0.2376937008
63	0.2363041068
64	0.2350158572
65	0.2341271115
66	0.2331464935
67	0.2323338362
68	0.2315568909
69	0.2308923386
70	0.2297710623
71	0.2287461963
72	0.2280408143
73	0.2270392438
74	0.2263516744
75	0.2257685242
76	0.2243528973
77	0.2233497798
78	0.2224843033
79	0.2219289954
80	0.2211698808
81	0.2206754077
82	0.2202130186
83	0.2196373052
84	0.2189821561
85	0.2184018096
86	0.2180414821
87	0.217527351
88	0.2158079787
89	0.2151413486
90	0.2146260433
91	0.2138555418
92	0.2131161675
93	0.2124142752
94	0.2119490344
95	0.2110389442
96	0.2104092131
97	0.21006154
98	0.2095200905
99	0.209114699
100	0.2084514432
101	0.2076930676
102	0.2072946917
103	0.2065748034
104	0.2055142708
105	0.2051333626
106	0.2047992571
107	0.2041634047
108	0.2032936495
109	0.2026676507
110	0.2018616652
111	0.2012924378
112	0.2005495665
113	0.1999379873
114	0.1996306551
115	0.1992411435
116	0.1986629304
117	0.1984339892
118	0.1976285954
119	0.1969683331
120	0.1964348944
121	0.195970695
122	0.1951631061
123	0.1942414643
124	0.1936480451
125	0.1928722755
126	0.192358462
127	0.1918242579
128	0.1913434698
129	0.1907656534
130	0.1900224725
131	0.1897476451
132	0.1893130845
133	0.1887602114
134	0.1883650376
135	0.1881567751
136	0.1876095237
137	0.187137191
138	0.1864917255
139	0.1861268431
140	0.1856915806
141	0.1851309674
142	0.1848198454
143	0.1844301951
144	0.1840550922
145	0.1836914741
146	0.1832057525
147	0.1827328965
148	0.1824423705
149	0.1820889539
150	0.1818048858
151	0.1811225658
152	0.1807384951
153	0.1805078047
154	0.1802608213
155	0.180065907
156	0.1798736542
157	0.1796097886
158	0.1793729686
159	0.1790888384
160	0.1787881007
161	0.1784850964
162	0.178106249
163	0.1775630359
164	0.1772433772
165	0.1768419661
166	0.176444173
167	0.1761168272
168	0.1759797113
169	0.1755521028
170	0.174742729
171	0.1743042259
172	0.1740507965
173	0.1737772513
174	0.1734990471
175	0.173104673
176	0.1727982427
177	0.172066013
178	0.1715862282
179	0.1713125925
180	0.1709770621
181	0.1703351004
182	0.1701340214
183	0.1694884921
184	0.1689527122
185	0.1686713996
186	0.1678945868
187	0.1673261092
188	0.1670646929
189	0.1667031215
190	0.1663909247
191	0.1661985003
192	0.1659651298
193	0.1655337281
194	0.1652811686
195	0.1650007202
196	0.1647071459
197	0.1645435774
198	0.1643064472
199	0.1641160431
200	0.1638772713
201	0.1636808707
202	0.1634261084
203	0.1630530344
204	0.1627585592
205	0.162456591
206	0.1621054825
207	0.1618646761
208	0.1616054127
209	0.1613547048
210	0.1611001226
211	0.1607434571
212	0.1603286901
213	0.1599891624
214	0.1593871465
215	0.1591566183
216	0.1587384886
217	0.1583955893
218	0.1580749875
219	0.1578721247
220	0.157267185
221	0.15704111
222	0.1568144927
223	0.1563953581
224	0.1561582921
225	0.1560582696
226	0.1558201962
227	0.1556511602
228	0.1554358085
229	0.1551114092
230	0.1549498157
231	0.1546369337
232	0.1543629808
233	0.1542040791
234	0.1539752909
235	0.1537178904
236	0.1535666705
237	0.153347571
238	0.1530692234
239	0.1528857465
240	0.1526554809
241	0.1522648873
242	0.151967652
243	0.1517778057
244	0.1514723784
245	0.1512983269
246	0.1510309679
247	0.1508398709
248	0.1505169108
249	0.1497513813
250	0.1495528326
251	0.1490179526
252	0.1487076747
253	0.1484679872
254	0.1482629834
255	0.1480611506
256	0.1476175823
257	0.1473862183
258	0.1472320683
259	0.1468244308
260	0.1465384405
261	0.1461400992
262	0.1459681267
263	0.1458414433
264	0.1456596484
265	0.1454615856
266	0.1450881144
267	0.1447072601
268	0.1444623495
269	0.1442107553
270	0.14402565
271	0.1438651744
272	0.1436932853
273	0.1434424696
274	0.1432615667
275	0.143030325
276	0.1429149079
277	0.1427170694
278	0.1425738456
279	0.1424392445
280	0.1421095764
281	0.1418507814
282	0.1415862172
283	0.1414022466
284	0.1412789599
285	0.1411554189
286	0.1409493704
287	0.1407255747
288	0.1404792566
289	0.1403133839
290	0.140057581
291	0.1399305631
292	0.139637272
293	0.1395061578
294	0.139303392
295	0.1390352374
296	0.1389015277
297	0.138698685
298	0.1384517268
299	0.1383010656
300	0.1381642851
301	0.1379875631
302	0.1378833194
303	0.1377452401
304	0.137650383
305	0.1375715166
306	0.1374657643
307	0.1373878241
308	0.1372324187
309	0.1370107367
310	0.1367984581
311	0.1367090199
312	0.1364128323
313	0.1361060401
314	0.1358115341
315	0.135612075
316	0.1353455587
317	0.135174403
318	0.1349820481
319	0.134824263
320	0.134620398
321	0.1344645354
322	0.1342689475
323	0.1341185845
324	0.1340045291
325	0.1338688124
326	0.133675781
327	0.1334529174
328	0.1333322994
329	0.1330449593
330	0.13268695
331	0.132546634
332	0.1323117736
333	0.1320897612
334	0.1317228472
335	0.1315850622
336	0.1314827044
337	0.1312061888
338	0.1309341978
339	0.1307931283
340	0.1306107792
341	0.130409481
342	0.1301766272
343	0.1300241842
344	0.1297197003
345	0.1295154859
346	0.1292275188
347	0.1290396131
348	0.128770499
349	0.1286046218
350	0.1284092875
351	0.1282865674
352	0.1280815663
353	0.1278797207
354	0.1277021054
355	0.1275192119
356	0.1273613582
357	0.1271351658
358	0.1269538364
359	0.1266883661
360	0.1265167268
361	0.1263524432
362	0.1262740847
363	0.1261021076
364	0.125617584
365	0.1254197654
366	0.1251614071
367	0.1250443154
368	0.1246061874
369	0.1243595576
370	0.1241774494
371	0.1239467957
372	0.1235613893
373	0.1233348134
374	0.1231439312
375	0.1229768917
376	0.1227115819
377	0.1225843003
378	0.122328038
379	0.1221430177
380	0.1220051957
381	0.1218802416
382	0.1216540764
383	0.1215380369
384	0.1213613509
385	0.1212277932
386	0.1211128859
387	0.120763526
388	0.1206188063
389	0.120489743
390	0.1203468817
391	0.1201540149
392	0.1200619326
393	0.1198408312
394	0.1196341296
395	0.1192233657
396	0.1190602517
397	0.1188215893
398	0.1186557185
399	0.1183953314
400	0.1180394709
401	0.1177633063
402	0.1175956148
403	0.1173739748
404	0.117050146
405	0.1168228058
406	0.1166595063
407	0.1165329066
408	0.1163828677
409	0.1162246782
410	0.1160415152
411	0.1157725076
412	0.1156283974
413	0.1155712178
414	0.1154375228
415	0.1153372135
416	0.1152246533
417	0.1151277232
418	0.1150027993
419	0.1148260247
420	0.1146732627
421	0.1145171405
422	0.1143574703
423	0.114222473
424	0.1140079581
425	0.1138546144
426	0.1136722987
427	0.1135768485
428	0.1134842196
429	0.1133524337
430	0.1131852411
431	0.1130185581
432	0.1128629363
433	0.1126673282
434	0.1124857911
435	0.1123635603
436	0.1122520753
437	0.1121455506
438	0.1120123227
439	0.1119382284
440	0.1118315493
441	0.1117195028
442	0.1115250296
443	0.1113576805
444	0.111193681
445	0.1110191857
446	0.1108989161
447	0.110701493
448	0.1105950263
449	0.1104490811
450	0.1103083586
451	0.1101942832
452	0.1100681644
453	0.1099349334
454	0.1097144019
455	0.109588885
456	0.1094652732
457	0.1093592807
458	0.1092431676
459	0.1091126604
460	0.1090031418
461	0.1088979627
462	0.1087839575
463	0.1086884438
464	0.1085932586
465	0.1085084753
466	0.1084112389
467	0.1083108917
468	0.1082179636
469	0.1081054238
470	0.1079914997
471	0.1078890624
472	0.1077903574
473	0.1076301683
474	0.1075441611
475	0.1073095076
476	0.1071341886
477	0.1069689646
478	0.1067823654
479	0.1066298201
480	0.1065068272
481	0.1063669484
482	0.1062076015
483	0.106045926
484	0.1059629949
485	0.1059100894
486	0.1058502721
487	0.1057082101
488	0.1056266323
489	0.1055499424
490	0.1054759226
491	0.1053669399
492	0.1052592375
493	0.1051816054
494	0.1050679334
495	0.1049460299
496	0.1048090168
497	0.1047357192
498	0.104616644
499	0.10451919
500	0.1043965715
501	0.1042219662
502	0.1041473844
503	0.1037711601
504	0.1036930337
505	0.1035819799
506	0.1034958828
507	0.1033701321
508	0.1031200027
509	0.1030283829
510	0.1028844047
511	0.102795352
512	0.1025680266
513	0.1024918649
514	0.1023714151
515	0.1021649882
516	0.1019517826
517	0.1018770051
518	0.10179952
519	0.1016183089
520	0.1015466966
521	0.101478921
522	0.1014149967
523	0.1011824067
524	0.1011117023
525	0.1010009916
526	0.1009495074
527	0.100889112
528	0.1008301266
529	0.1007481211
530	0.1007057376
531	0.1006224689
532	0.100531442
533	0.1004347612
534	0.1003759199
535	0.1002739977
536	0.1002065963
537	0.100095595
538	0.1000295504
539	0.09995389634
540	0.09985391376
541	0.09974247807
542	0.09953459681
543	0.09949634522
544	0.09939872625
545	0.09927647888
546	0.09911354247
547	0.09899314548
548	0.09893296044
549	0.09886415274
550	0.09880900888
551	0.09877642137
552	0.09866608809
553	0.09860633904
554	0.09851011382
555	0.09839870145
556	0.09831316261
557	0.09819054305
558	0.09812306104
559	0.09804316961
560	0.0979001119
561	0.09777736722
562	0.09762331665
563	0.0974302734
564	0.09735850315
565	0.09725519719
566	0.09716378573
567	0.09707821731
